object_id,object_location,filename,title,creator,date,archival_date,description,subject,location,idaho_county,source,identifier,type,format_original,format,finding_aid,digital_collection,contributing_institution
object_1,https://objects.lib.uidaho.edu/shitamae/mg387_03_027.pdf,cdil_collection.pdf,School Letter Update From George To Yukiko,"Shitamae, Yoshiko",1942-06-25,Summer 1942,"A letter from Yoshiko discussing events at the University of Idaho","Correspondence, World War II",Moscow,Latah,"Shitamae Family Collection",,"Correspondence","PDF",,"Shitamae Family Collection",,
object_2,https://objects.lib.uidaho.edu/hiroshima/argonaut_1942-04-24_pg1.jpg,cdil_collection.jpeg,"Argonaut Article Mentions that the University has made no change to their ""No Jap"" Policy","University of Idaho Student Media",1942-04-24,1942-04-24,"Article discussing discriminatory policies at the University","Discrimination, World War II, Argonaut",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","JPEG",,"Argonaut Newspaper",,
object_3,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page28_a.jpg,cdil_collection.jpeg,Photo Of Kooskia Internment Camp Bulletin Board,"Kooskia Internment Camp",1944,1944,"Image of bulletin board at Kooskia Internment Camp","Internment Camps, World War II, Photography",Kooskia,Idaho,"Kooskia Internment Camp Records",,"Photograph","JPEG",,"Kooskia Internment Camp Records",,
object_4,https://ddr.densho.org/ddr-densho-26-261/,cdil_collection.jpeg,Painting Of Lake And Mountain Scene,,,,,"Visual Arts, Painting",,,,"Yanagihara Family Collection",,"Painting","JPEG",,"Yanagihara Family Collection",,
object_5,https://ddr.densho.org/ddr-densho-371-1/,cdil_collection.jpeg,Painting Of The Gila River Camp,"Dick Sata",1942,1942,"Painting Of The Gila River In Arizona","Visual Arts, Painting, Internment Camps",Gila River,Arizona,"Densho Digital Repository",,"Painting","JPEG",,"Densho Digital Repository",,
object_6,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1939-10-06.pdf,cdil_collection.pdf,"Argonaut Article has a message from then president Harrison Dale, who encourages students to take a more active role in campus life","University of Idaho Student Media",1939-10-06,1939-10-06,"Article discussing campus engagement during pre-war period","Argonaut, Campus Life, World War II",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","PDF",,"Argonaut Newspaper",,
object_7,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-05-27.pdf,cdil_collection.pdf,"Argonaut Article which discusses the building of a new armory for the ROTC and the allotment of $200,000 for construction","University of Idaho Student Media",1941-05-27,1941-05-27,"Article discussing military preparedness on campus","Argonaut, ROTC, Military Training, World War II",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","PDF",,"Argonaut Newspaper",,
object_8,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1942-11-12.pdf,cdil_collection.pdf,Argonaut Article discusses a specialty unit of the army on campus offering military training to women,"University of Idaho Student Media",1942-11-12,1942-11-12,"Article about military training opportunities for women on campus","Argonaut, ROTC, Women in Military, World War II",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","PDF",,"Argonaut Newspaper",,
object_9,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-12-09.pdf,cdil_collection.pdf,"Argonaut Article focuses on the bombing of Pearl Harbor with the student government and U Of I president discussing campus response","University of Idaho Student Media",1941-12-09,1941-12-09,"Article discussing campus response to Pearl Harbor attack","Argonaut, Pearl Harbor, World War II, Campus Life",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","PDF",,"Argonaut Newspaper",,
object_10,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1945-05-24.pdf,cdil_collection.pdf,"Argonaut Article mentions running behind on their paper release due to the war effort needing paper for the military","University of Idaho Student Media",1945-05-24,1945-05-24,"Article discussing wartime resource shortage affecting student newspaper","Argonaut, World War II, Rationing, Media",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","PDF",,"Argonaut Newspaper",,
object_11,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1945-09-19.html,cdil_collection.pdf,"Argonaut Article discusses the arrival of the first ROTC unit to campus and increase in enrollment","University of Idaho Student Media",1945-09-19,1945-09-19,"Article discussing post-war ROTC expansion on campus","Argonaut, ROTC, World War II Aftermath, Campus Life",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","HTML",,"Argonaut Newspaper",,
object_12,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1935-04-02.pdf,cdil_collection.pdf,"Argonaut Article has a small section which discusses a debate with Utah State students on the debate topic of government expenditures","University of Idaho Student Media",1935-04-02,1935-04-02,"Pre-war article discussing student debate competition","Argonaut, Campus Life, Debates, Pre-War Period",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","PDF",,"Argonaut Newspaper",,
object_13,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1949-11-15.html,cdil_collection.pdf,Argonaut Article,"University of Idaho Student Media",1949-11-15,1949-11-15,"Fall 1949 article discussing post-war campus developments","Argonaut, Post-War, Campus Life, World War II Aftermath",Moscow,Latah,"Argonaut Newspaper",,"Newspaper Article","HTML",,"Argonaut Newspaper",,
